ID Llamada,Cliente,Agente,Fecha,Hora de inicio,Hora de finalización,Duración (min),Tipo de Llamada,Resultado,Nivel de satisfacción,Departamento
1,Cliente A,Agente 1,2024-03-20,09:00:00,09:15:00,15,Venta,Exitosa,Alto,Ventas
2,Cliente B,Agente 2,2024-03-20,09:05:00,09:25:00,20,Soporte,Técnico resuelto,Medio,Soporte Técnico
3,Cliente C,Agente 3,2024-03-20,09:10:00,09:30:00,20,Consulta,Transferido a otro departamento,Bajo,Atención al Cliente
4,Cliente D,Agente 1,2024-03-20,09:15:00,09:30:00,15,Queja,Resuelto,Alto,Servicio al Cliente
5,Cliente E,Agente 2,2024-03-20,09:20:00,09:40:00,20,Venta,Exitosa,Medio,Ventas
6,Cliente F,Agente 3,2024-03-20,09:25:00,09:45:00,20,Consulta,Información proporcionada,Bajo,Atención al Cliente
7,Cliente G,Agente 1,2024-03-20,09:30:00,09:45:00,15,Soporte,Técnico resuelto,Alto,Soporte Técnico
8,Cliente H,Agente 2,2024-03-20,09:35:00,09:55:00,20,Venta,Exitosa,Medio,Ventas
9,Cliente I,Agente 3,2024-03-20,09:40:00,10:00:00,20,Queja,En proceso,Bajo,Servicio al Cliente
10,Cliente J,Agente 1,2024-03-20,09:45:00,10:00:00,15,Consulta,Información proporcionada,Alto,Atención al Cliente
11,Cliente K,Agente 1,2024-03-20,09:50:00,10:05:00,15,Consulta,Información proporcionada,Medio,Atención al Cliente
12,Cliente L,Agente 2,2024-03-20,09:55:00,10:15:00,20,Soporte,Problema sin resolver,Bajo,Soporte Técnico
13,Cliente M,Agente 3,2024-03-20,10:00:00,10:20:00,20,Queja,En proceso,Bajo,Servicio al Cliente
14,Cliente N,Agente 1,2024-03-20,10:05:00,10:25:00,20,Consulta,Información proporcionada,Alto,Atención al Cliente
15,Cliente O,Agente 2,2024-03-20,10:10:00,10:30:00,20,Venta,Exitosa,Alto,Ventas
16,Cliente P,Agente 3,2024-03-20,10:15:00,10:35:00,20,Queja,Resuelto,Medio,Servicio al Cliente
17,Cliente Q,Agente 1,2024-03-20,10:20:00,10:35:00,15,Consulta,Información proporcionada,Bajo,Atención al Cliente
18,Cliente R,Agente 2,2024-03-20,10:25:00,10:45:00,20,Soporte,Técnico resuelto,Alto,Soporte Técnico
19,Cliente S,Agente 3,2024-03-20,10:30:00,10:50:00,20,Venta,Exitosa,Alto,Ventas
20,Cliente T,Agente 1,2024-03-20,10:35:00,10:55:00,20,Consulta,Transferido a otro departamento,Medio,Atención al Cliente
21,Cliente U,Agente 1,2024-03-20,10:40:00,10:55:00,15,Consulta,Información proporcionada,Alto,Atención al Cliente
22,Cliente V,Agente 2,2024-03-20,10:45:00,11:05:00,20,Soporte,Problema sin resolver,Bajo,Soporte Técnico
23,Cliente W,Agente 3,2024-03-20,10:50:00,11:10:00,20,Queja,En proceso,Bajo,Servicio al Cliente
24,Cliente X,Agente 1,2024-03-20,10:55:00,11:15:00,20,Consulta,Información proporcionada,Medio,Atención al Cliente
25,Cliente Y,Agente 2,2024-03-20,11:00:00,11:20:00,20,Venta,Exitosa,Alto,Ventas
26,Cliente Z,Agente 3,2024-03-20,11:05:00,11:25:00,20,Queja,Resuelto,Medio,Servicio al Cliente
27,Cliente AA,Agente 1,2024-03-20,11:10:00,11:25:00,15,Consulta,Información proporcionada,Bajo,Atención al Cliente
28,Cliente BB,Agente 2,2024-03-20,11:15:00,11:35:00,20,Soporte,Técnico resuelto,Alto,Soporte Técnico
29,Cliente CC,Agente 3,2024-03-20,11:20:00,11:40:00,20,Venta,Exitosa,Alto,Ventas
30,Cliente DD,Agente 1,2024-03-20,11:25:00,11:45:00,20,Consulta,Transferido a otro departamento,Medio,Atención al Cliente
31,Cliente EE,Agente 1,2024-03-20,11:30:00,11:45:00,15,Consulta,Información proporcionada,Alto,Atención al Cliente
32,Cliente FF,Agente 2,2024-03-20,11:35:00,11:55:00,20,Soporte,Problema sin resolver,Bajo,Soporte Técnico
33,Cliente GG,Agente 3,2024-03-20,11:40:00,12:00:00,20,Queja,En proceso,Bajo,Servicio al Cliente
34,Cliente HH,Agente 1,2024-03-20,11:45:00,12:05:00,20,Consulta,Información proporcionada,Medio,Atención al Cliente
35,Cliente II,Agente 2,2024-03-20,11:50:00,12:10:00,20,Venta,Exitosa,Alto,Ventas
36,Cliente JJ,Agente 3,2024-03-20,11:55:00,12:15:00,20,Queja,Resuelto,Medio,Servicio al Cliente
37,Cliente KK,Agente 1,2024-03-20,12:00:00,12:15:00,15,Consulta,Información proporcionada,Bajo,Atención al Cliente
38,Cliente LL,Agente 2,2024-03-20,12:05:00,12:25:00,20,Soporte,Técnico resuelto,Alto,Soporte Técnico
39,Cliente MM,Agente 3,2024-03-20,12:10:00,12:30:00,20,Venta,Exitosa,Alto,Ventas
40,Cliente NN,Agente 1,2024-03-20,12:15:00,12:35:00,20,Consulta,Transferido a otro departamento,Medio,Atención al Cliente
